Tweet,Label,Emojis,😂,😭,😍,🔥,😊,😩,❤️,🇺🇸,❤,🤣
"RT @breyon03: Damn girls really hate being told ""No"" 😂😂😂😂😂🤔 why though wtf",1,"['😂', '😂', '😂', '😂', '😂', '🤔']",1,0,0,0,0,0,0,0,0,0
RT @CelebsInHS: Thats fucked up 😂😂😂 https://t.co/LpUMwzcN5a,1,"['😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
@kimbrlyjasmin06 Lmfao I'm gonna let your ass be! U wanna fight go 'head 😅. All I want is to be fuuuuuckinnn chopped 🤣🤣,1,"['😅', '🤣', '🤣']",0,0,0,0,0,0,0,0,0,1
"@In2why @TheLeadCNN @joepalojoe He will, he's letting these knuckleheads bury themselves deeper😉. He's a freaking genius👍🇺🇸",1,"['😉', '👍', '🇺🇸']",0,0,0,0,0,0,0,1,0,0
RT @kris_courrech: 🔥🔥@smokepurpp this hoe crazy🔥 https://t.co/G6hTTEAlws,1,"['🔥', '🔥', '🔥']",0,0,0,1,0,0,0,0,0,0
@gliltimmy88 @UnownBot Yes lol but I kept the name there. It looks better with just he letters 😊👍🏻 https://t.co/NS8OQf3MFB,1,"['😊', '👍🏻']",0,0,0,0,1,0,0,0,0,0
Tb to when I was the only one who crowed surfed to this song😂 it was lit tho @iseestarsmusic https://t.co/M1cp8hBxWf,1,['😂'],1,0,0,0,0,0,0,0,0,0
"@Saunders18Haley You don't fuck with me but just earlier you were so sad that I wasn't friends with you anymore, remember people talk. 😊",1,['😊'],0,0,0,0,1,0,0,0,0,0
@ByLwansta #BackToTheCityFestival #Lwansta see you there bru. 👏🏻👏🏻👏🏻👏🏻👏🏻🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/XhQnonlzMp,1,"['👏🏻', '👏🏻', '👏🏻', '👏🏻', '👏🏻', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥']",0,0,0,1,0,0,0,0,0,0
"@stanJhopennSuga @breathewithjin Jin : (it's food goddamnit, no way in hell would he let you off over it🤣) https://t.co/sMl2fVRHo6",1,['🤣'],0,0,0,0,0,0,0,0,0,1
RT @G4SHI: Fucking Lit 🔥!!!!! https://t.co/OVKLkXXwCj,1,['🔥'],0,0,0,1,0,0,0,0,0,0
My sister pulled the fire alarm during practice bc she thought it was a light switch omg I'm dying😂😂😂😂😂😂😂😂😂😂😂,1,"['😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
this is why i hate niggas 🙄😂 https://t.co/BD4S5SSSjA,1,"['🙄', '😂']",1,0,0,0,0,0,0,0,0,0
RT @youluvvcee: Niggas hate when you do you after they been doing them 😂😂😂😂,1,"['😂', '😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
It's a must these get copped!! Favorite color and favorite retros...yeah these got 😍😍 https://t.co/gYdFcFfo0g,1,"['😍', '😍']",0,0,1,0,0,0,0,0,0,0
"RT @SugaDunkerton21: ""Stupid ass where the rest of them bitches"" 😂🤣😭 https://t.co/GU3BynU4sp",1,"['😂', '🤣', '😭']",1,1,0,0,0,0,0,0,0,1
HOLY SHIT PARK CHANYEOL YOU CANT DO THIS TO ME!!!!!😭❤ https://t.co/8krgbP6mFp,1,"['😭', '❤']",0,1,0,0,0,0,0,0,1,0
"@jessieography @Jonsayswatup @ItsMattSkajem @OutWithTheOldCA I love how you hear @ItsMattSkajem say ""wowwwww Nathan"" at the end 😂😂😂😂😂",1,"['😂', '😂', '😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
HAPPY BIRTHDAY KAYSHA 🎉🔞 love ya loads and I hope your day is amazing ❤ #moneyteam 😛💸 @KweenKAYSH https://t.co/rS9C12cWLm,1,"['🎉', '🔞', '❤', '😛', '💸']",0,0,0,0,0,0,0,0,1,0
cree gets on my nerves cause she be putting gas in my car but i love her cause she be putting gas in my car lol 😭,1,['😭'],0,1,0,0,0,0,0,0,0,0
RT @XO_sierraaaaa: Don't let a nigga with no car DRIVE you crazy 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
RT @why13reason: this fucked me up 😭😭 https://t.co/xWvJM5jF4W,1,"['😭', '😭']",0,1,0,0,0,0,0,0,0,0
#Repost @kingqueenhearts with @repostapp ・・・ May pa IG story si Erich 😂 super supportive friend… https://t.co/HBObVVSgw6,1,['😂'],1,0,0,0,0,0,0,0,0,0
Oh someone looks like there on DRUGS disgusting slut @nicola123333 😍😍😍 https://t.co/tF6pSuhUTk,1,"['😍', '😍', '😍']",0,0,1,0,0,0,0,0,0,0
Idc what these bitches say I won't have my girl out here looking stupid 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
@WitchEnd @strudders_cfc Very uncivilised 😂 This is why so many assaulted in Europe different culture 😮,1,"['😂', '😮']",1,0,0,0,0,0,0,0,0,0
RT @Stormzy1: #GSAP TOUR - DUBLIN - FUCKING HELL!!!! 🇮🇪❤️💪🏿 https://t.co/b6uzw8c3Ze,1,"['🇮🇪', '❤️', '💪🏿']",0,0,0,0,0,0,1,0,0,0
also what do i have to sacrifice in order to go into the voltron tags without seeing any nasty ass shaladin posts 😬😩,1,"['😬', '😩']",0,0,0,0,0,1,0,0,0,0
How beautiful to watch Perez go off the deep end 🐿🥜So interesting to see the dems reaction when the jig is up & ALL their lies r revealed😂,1,"['🐿', '🥜', '😂']",1,0,0,0,0,0,0,0,0,0
"RT @SkySantana: bitches still hate me? 😂 the gag is, ... i said no previews but fuck it, ima just leave this here, 😂 https://t.co/R2doHQQEJg",1,"['😂', '😂']",1,0,0,0,0,0,0,0,0,0
RT @QueenNetta__: Sex flash backs be fucking me up istg 😭😭😭😭 idk wtf I'm finna do,1,"['😭', '😭', '😭', '😭']",0,1,0,0,0,0,0,0,0,0
"Heart wrenching snaps. Tears flowed out of my eyes, unconsciously. No words can explain that kid's feelings. 😭😭 https://t.co/4pOqaI0HTv",1,"['😭', '😭']",0,1,0,0,0,0,0,0,0,0
"@Aidan421Aidan @saifbinthiban @AMDWaters @philallen02 @mike_morbius Nope, Just laughing at the stupids. Thanks for that.😂",1,['😂'],1,0,0,0,0,0,0,0,0,0
Sorry but Park Hae Jin is obssessed with me @oh_doreen @Banksaphobia @mlsaludes 😜😍 https://t.co/yKatbWG7KD,1,"['😜', '😍']",0,0,1,0,0,0,0,0,0,0
RT @celythegreat: I wont beef with hoes behind a nigga!! I get rid of the hoe by getting rid of the nigga..😊,1,['😊'],0,0,0,0,1,0,0,0,0,0
"Y would someone's gf sit in the middle of a bunch of other bfs & be touching and laughing wit'm, guess what they say ab sophomores be true😂",1,['😂'],1,0,0,0,0,0,0,0,0,0
@welshboy82 I now hear it in my head warbled by SuBu with the pissed-sounding BBC symphony chorus in background (aah-aah-aah-aah-aah-aah) ❤,1,['❤'],0,0,0,0,0,0,0,0,1,0
RT @__OfficialJt: These Niggas Cold Asl 💥🔥😱🤤 https://t.co/gUfxK7Ot81,1,"['💥', '🔥', '😱', '🤤']",0,0,0,1,0,0,0,0,0,0
RT @StripperPoIe: bitches that don't like u will swear u ugly or a hoe like bitch u mad cause im neither and you're both😩,1,['😩'],0,0,0,0,0,1,0,0,0,0
So NOW do we believe @realtimrozon & @DominiqueP_C telling us S2 is the best thing ever seen??!! 😎👍😀😂😂 #WynonnaEarp https://t.co/ouXkiHgYQV,1,"['😎', '👍', '😀', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
@AhNaturalB3AUtY is that the scar when you cut yourself shaving when I was over your house that one time ?? 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
😭 I'm fucking cryingggggggg https://t.co/vLqLGrzH1d,1,['😭'],0,1,0,0,0,0,0,0,0,0
RT @NamasteHeaux: #ShootYourShot is just another twitter event I can't participate in because I'm shy and ugly 😩😩 https://t.co/LU6rEdbG10,1,"['😩', '😩']",0,0,0,0,0,1,0,0,0,0
RT @__ikegirl: Moe they cutting johneisha ass up 😭😭😭😭😭😭😭💀💀💀💀💀💀⚰️⚰️⚰️⚰️⚰️⚰️⚰️⚰️⚰️⚰️,1,"['😭', '😭', '😭', '😭', '😭', '😭', '😭', '💀', '💀', '💀', '💀', '💀', '💀', '⚰️', '⚰️', '⚰️', '⚰️', '⚰️', '⚰️', '⚰️', '⚰️', '⚰️', '⚰️']",0,1,0,0,0,0,0,0,0,0
RT @youngthug: I'm goin to find u.. then I'm goin to fuck u.... 🤔 this nigga stupid af😭😂😭😂,1,"['🤔', '😭', '😂', '😭', '😂']",1,1,0,0,0,0,0,0,0,0
@itshammadd what is the reaction of Canadian people? What a day for all of u. 😍😂😂 https://t.co/3CllB0wMCn,1,"['😍', '😂', '😂']",1,0,1,0,0,0,0,0,0,0
I went from failing almost all my classes my 1st semester because of how depressed I got to being on the Dean's List 😭,1,['😭'],0,1,0,0,0,0,0,0,0,0
"@OtakuDante Bless your heart. I don't know what is going on, but among our age, panic attacks are becoming an epidemic. I got you prayer.❤️",1,['❤️'],0,0,0,0,0,0,1,0,0,0
RT @_PrincesssssK: Because I'm legally retarded 😂😭😭😭 https://t.co/k4tGMX6Dvn,1,"['😂', '😭', '😭', '😭']",1,1,0,0,0,0,0,0,0,0
"Niggas don't hate yall man, they just don't like you as a person. 😂😂😂",1,"['😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
RT @Millz_Isydopn: Yo bestfriend ain't fucking with my bestfriend ‼️‼️💪🏾💪🏾💯💯😍 @SourDee_ https://t.co/6sbJ1Lllvw,1,"['‼️', '‼️', '💪🏾', '💪🏾', '💯', '💯', '😍']",0,0,1,0,0,0,0,0,0,0
Look at how these people see me. Tobi. I'm a sociopath not a psychopath. Obviously 🤣🤣🤣 https://t.co/UPNLzOwjaB,1,"['🤣', '🤣', '🤣']",0,0,0,0,0,0,0,0,0,1
happy bday cuzz❤️ ilysm and I hope you have a great day you deserve it😉💖 @MiaRosic_ https://t.co/2eYsI15C7v,1,"['❤️', '😉', '💖']",0,0,0,0,0,0,1,0,0,0
"Now through July 31st, rent #LoveIsLove from @HooplaDigital to support @equalityfl. 💜💚❤💙💛💪 https://t.co/CIKIBaMasS",1,"['💜', '💚', '❤', '💙', '💛', '💪']",0,0,0,0,0,0,0,0,1,0
"Our taxi driver: ""when you look for a guy to marry, look for a best friend. But first find who you are and be self sufficient"" 😭😌",1,"['😭', '😌']",0,1,0,0,0,0,0,0,0,0
RT @NoHoesGeorge: I'm officially taken 😩❤🔒as a fucking joke,1,"['😩', '❤', '🔒']",0,0,0,0,0,1,0,0,1,0
Finally!! I found someone interesting to me🤦🏼‍♀️it's been a long time since my notifications were this much.🤦🏼‍♀️❤,1,"['🤦🏼\u200d♀️', '🤦🏼\u200d♀️', '❤']",0,0,0,0,0,0,0,0,1,0
Niggas will tell you str8 up they don't want a relationship yet will flip the second you say you going to smoke w/ ya homie lol foh bruh 😂😂😂,1,"['😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
@HarryReid16 ❤ u to join us for only children's hospice in Sussex would be a real honour and privilege… https://t.co/yh5XC4nfNq,1,['❤'],0,0,0,0,0,0,0,0,1,0
@TristenDeValk I know royce told me and now I feel like an idiot 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
The type of friends that end up in jail together and think about it being awesome 😂 https://t.co/aAATpiPCX4,1,['😂'],1,0,0,0,0,0,0,0,0,0
RT @WSHHVlDEOS: Real fucking tears lmaooo💀😭 https://t.co/TSGmizqsis,1,"['💀', '😭']",0,1,0,0,0,0,0,0,0,0
@RiotSupport @tigerxenvy @LeagueOfLegends @draggles It's okay Riot bb. ;-; I still love you and I have reconnected with my new friend. 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
RT @AlexiDinero: Niggas can spot some ass a mile away but can't spot their girl being unhappy in front on their face 😂🤔,1,"['😂', '🤔']",1,0,0,0,0,0,0,0,0,0
"Bitches be so press for friends it's embarrassing, dat look so bad😂",1,['😂'],1,0,0,0,0,0,0,0,0,0
I love blocking people who watch your page for months and then finally comment from the heart because they have never liked you. #Losers 😂💯🔥,1,"['😂', '💯', '🔥']",1,0,0,1,0,0,0,0,0,0
"@CBSNews @Maher48Hours the bashing of Trump by the media is unprecedented. Never seen so much maligning of a POTUS, not Obama or GW etc etc😩",1,['😩'],0,0,0,0,0,1,0,0,0,0
Glad 2 Know 🔥 Newsong 🚨. https://t.co/G2df11O4Ss @DeadlyNoRespect @DNR_CREW @RETWEETDNR @RTDNR @RTFAMDNR @HyperRTs @DarkRTs1 @SatanRetweets,1,"['🔥', '🚨']",0,0,0,1,0,0,0,0,0,0
IM FUCKING DONE WITH TWITTER 😂😂😂😂😂😫😫 https://t.co/kdVKbr6ary,1,"['😂', '😂', '😂', '😂', '😂', '😫', '😫']",1,0,0,0,0,0,0,0,0,0
God Damn Yesss....😍 Waiting for the Malik-Ghulaaam scene desperately😍🔥 @8paramsingh @VikkasManaktala 😘😘 #Ghulaam https://t.co/NAhws8DY8F,1,"['😍', '😍', '🔥', '😘', '😘']",0,0,1,1,0,0,0,0,0,0
RT @tylerperez400: If u cuff a girl who cheated on her mans w u u retarded af😂😂😂,1,"['😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
"Happy birthday to this inspiring strong woman, who helped our idol to be a singer👋❤❤ #HappyBirthdayPattieMallette https://t.co/6f5PaW7m2X",1,"['👋', '❤', '❤']",0,0,0,0,0,0,0,0,1,0
RT @CerromeZONE: This shit got me fuckin CRYINGGGGGG!! Cuz the lil nigga aint even want this stupid cut just look @ his face 😭😭😭😭 https://t…,1,"['😭', '😭', '😭', '😭']",0,1,0,0,0,0,0,0,0,0
@JillDawsonJ @RobinskiSB55 The comments he made last year after he signed with the Cubs. It was annoying. And moved him to my bad side. 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
RT @mymixtapez: He fucked up 😩😩😩 They came out squaded 😭😭😭😭 #GangGang https://t.co/qT5lMsT70v,1,"['😩', '😩', '😩', '😭', '😭', '😭', '😭']",0,1,0,0,0,1,0,0,0,0
RT @slickkslickk: Bruh😂😂 y'all boys so inconsiderate bro it's crazy. You wouldn't cry if you nigga died? You gotta put yaself in othe…,1,"['😂', '😂']",1,0,0,0,0,0,0,0,0,0
@boomslanger21 Either that or they are fukin idiots 🤔😂,1,"['🤔', '😂']",1,0,0,0,0,0,0,0,0,0
"@anarod1987 I feel so silly. 😂 We were busy trying to make it to the movie on time, and I just misunderstood what you were asking.",1,['😂'],1,0,0,0,0,0,0,0,0,0
Been dragged & tossed a handful of y'all bitches in the dump . Washed my hands years ago 😁😂🤷🏻‍♀️,1,"['😁', '😂', '🤷🏻\u200d♀️']",1,0,0,0,0,0,0,0,0,0
This shit just fucked me up for the rest of the day lol I need to go smoke now😂 https://t.co/kfaWlkMIpL,1,['😂'],1,0,0,0,0,0,0,0,0,0
Y'all fucked up niggas have they moments 😂🤦🏾‍♂️ https://t.co/pRSgtDGr42,1,"['😂', '🤦🏾\u200d♂️']",1,0,0,0,0,0,0,0,0,0
RT @FunnyPicsDepot: RT if you still hate this nigga 😂 https://t.co/S4QirK9MnV,1,['😂'],1,0,0,0,0,0,0,0,0,0
@anky1912 I love you soo much. Keep smiling. Keep enjoying. We are liking our chulbuli Di's avtar nowadays soo much. Be happy always. 😍😍,1,"['😍', '😍']",0,0,1,0,0,0,0,0,0,0
RT @alvarossanti: WHAAAAAAT 😍😍😍😩😩 that was insane gurls ❤️ finilly watched my four bitches 💕💕💕 so blessed 😘💅🏾 #LittleMix #LITTLEMIXLA @Litt…,1,"['😍', '😍', '😍', '😩', '😩', '❤️', '💕', '💕', '💕', '😘', '💅🏾']",0,0,1,0,0,1,1,0,0,0
"""Another day in fucking paradise, fellas!"" - things you hear in the hallways of City College😂",1,['😂'],1,0,0,0,0,0,0,0,0,0
Work is deffo not the one in this fucking weather 😩😭,1,"['😩', '😭']",0,1,0,0,0,1,0,0,0,0
RT @CelebsInHS: Thats fucked up 😂😂😂 https://t.co/LpUMwzcN5a,1,"['😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
RT @majhmillie: I don't want nobody 😂 I'm just fucking with everybody head,1,['😂'],1,0,0,0,0,0,0,0,0,0
RT @CerromeZONE: This shit got me fuckin CRYINGGGGGG!! Cuz the lil nigga aint even want this stupid cut just look @ his face 😭😭😭😭 https://t…,1,"['😭', '😭', '😭', '😭']",0,1,0,0,0,0,0,0,0,0
RT @Dmariays_KEEPER: Broke hoes always mad for some reason 😂😘,1,"['😂', '😘']",1,0,0,0,0,0,0,0,0,0
derby day!! get me too anfield 👊❤ up the fucking reds,1,"['👊', '❤']",0,0,0,0,0,0,0,0,1,0
@IdolizedNae bitch you be on here clowning worse than me!!😭😭 & I clowns,1,"['😭', '😭']",0,1,0,0,0,0,0,0,0,0
RT @Caribbeanpapi_: She was REALLY fucking it up 😍 https://t.co/wuigif6FSs,1,['😍'],0,0,1,0,0,0,0,0,0,0
"*takes one snap* & says, ""oh my god, i'm so fuckin ugly"" 😂",1,['😂'],1,0,0,0,0,0,0,0,0,0
RT @youngthug: I'm goin to find u.. then I'm goin to fuck u.... 🤔 this nigga stupid af😭😂😭😂,1,"['🤔', '😭', '😂', '😭', '😂']",1,1,0,0,0,0,0,0,0,0
"@ArianaGrande i met all these lovely people because of you, we miss you and love you so much ❤ https://t.co/sjJrwl1FiG",1,['❤'],0,0,0,0,0,0,0,0,1,0
@ariianaaax3 I read the book like forever ago but I don't remember anything that happened and it's killing me 😩,1,['😩'],0,0,0,0,0,1,0,0,0,0
"Everybody tagging their mans with ""don't fucking think about it"" ""keep scrolling"" now 😂 @Nikita_Dragun",1,['😂'],1,0,0,0,0,0,0,0,0,0
@CrookedIntriago As someone who counts the money you spend at the casino thank you for your patronage 😂😂😂😂😂,1,"['😂', '😂', '😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
RT @ashgotda_juicee: One thing a bitch can't call me is ugly 😂😍💕,1,"['😂', '😍', '💕']",1,0,1,0,0,0,0,0,0,0
"RT @Richie_l0c0: ""Before I call u in the n word"" she was so fucking hurt that he didn't like her Twinkie cakes 😭😭 https://t.co/QYF27fNcyM",1,"['😭', '😭']",0,1,0,0,0,0,0,0,0,0
RT @PrettiHotNThick: i ain gone lie chuckie fucked w| my head a lil bit 😭😭😭😭 https://t.co/v1lQKqe1fz,1,"['😭', '😭', '😭', '😭']",0,1,0,0,0,0,0,0,0,0
"Started university this year and in the informatics programme, its fun but most of the time its quite challenging😭",1,['😭'],0,1,0,0,0,0,0,0,0,0
My hair will not grow in one fucking spot 😭🤦🏾‍♀️ brah Wtf,1,"['😭', '🤦🏾\u200d♀️']",0,1,0,0,0,0,0,0,0,0
@DJYwrites New Menzingers and King Gizz are essential 2017 spins as well. I also suggest the Diet Cig debut if breezy guitar pop is ya jam 😊,1,['😊'],0,0,0,0,1,0,0,0,0,0
When the electricity is off I'm get fucking crazy. my battery is 15😭 u monsters,1,['😭'],0,1,0,0,0,0,0,0,0,0
"@beamiller @GIPHY honestly, if I ever have pent up anger, I'm watching this to release my anger😂 https://t.co/AgQAx2kAU8 via @giphy",1,['😂'],1,0,0,0,0,0,0,0,0,0
@cellylamasdura Patience lol trust me Jariel drives me crazy but I tell him k siga jodiendo he's still going 😭,1,['😭'],0,1,0,0,0,0,0,0,0,0
tomorrow is the first of 3 days that i will debut my very own work of art on a runway and i still can't believe it😭,1,['😭'],0,1,0,0,0,0,0,0,0,0
i ain tryna get attached so we had to stop fucking for a min 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
Hahahah still a fucking belter 😂😂 https://t.co/LQA3tFGfDR,1,"['😂', '😂']",1,0,0,0,0,0,0,0,0,0
Fucking ass hole😂😂😩 but I always get what I want❤️,1,"['😂', '😂', '😩', '❤️']",1,0,0,0,0,1,1,0,0,0
I walked here from 44th and Walnut (with a detour to 15th and Ellsworth) so I deserve whiskey. 😊 (@ Tattooed Mom) https://t.co/XmebyyCcC9,1,['😊'],0,0,0,0,1,0,0,0,0,0
This Saturday From 2-8pm #LittyFoolsDayParty ☀️🔥Free Henny Shots 🥃 Ladies in Bikini Tops Free til 3 https://t.co/sllMQVTfQW x86,1,"['☀️', '🔥', '🥃']",0,0,0,1,0,0,0,0,0,0
Owww shit shit packing tape. ASDFGHJKLDHGKLDHA !!!!!!!!! 😭😭😭 https://t.co/12O7qIOaXz,1,"['😭', '😭', '😭']",0,1,0,0,0,0,0,0,0,0
RT @Smook_Dawg: Them people who mad and act like they don't know why you cut the ass off ! 😂😂😂😂 https://t.co/EUaeuWCZHN,1,"['😂', '😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
I hate when people are salty as fuck for no reason man 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
When you thought you'll have a doctors apt all alone today then he shows up to the doctors office 💕❤👶🏽💍,1,"['💕', '❤', '👶🏽', '💍']",0,0,0,0,0,0,0,0,1,0
😂 had to get me some how that was high school days tho shit nowadays I stay away from the Dm lol https://t.co/3z2lHJUEhA,1,['😂'],1,0,0,0,0,0,0,0,0,0
RT @NezttorBracho: ▶️▶️ @fckmeboy 😍😍 Wanna get fucked like that 👅💦 https://t.co/4fZURLNrrW https://t.co/3TPClzThsx,1,"['▶️', '▶️', '😍', '😍', '👅', '💦']",0,0,1,0,0,0,0,0,0,0
RT @writtenbysky: 😭 getting fucked in the shower is boring 💯 fuck me in the oven daddy 😩😍😛💦♥️🤞🏾,1,"['😭', '💯', '😩', '😍', '😛', '💦', '♥️', '🤞🏾']",0,1,1,0,0,1,0,0,0,0
"@kamaalrkhan 😂😂😂 See who is talking 😂😂😂 krk is himself biggest *hutiya, idiots n frustrated in life. he put filters… https://t.co/4EsdymRnwf",1,"['😂', '😂', '😂', '😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
@2MuchJohnson12 Omg I know. No respect for even herself 😂 she might be fake idk that's a baseball players name..??,1,['😂'],1,0,0,0,0,0,0,0,0,0
I swear this particular presidency makes me question and reassess this whole democracy thing sometimes 🤔😭😂,1,"['🤔', '😭', '😂']",1,1,0,0,0,0,0,0,0,0
My dude okky came in with his head bleeding and no clue where his car is or how fucked up he got 😂😂,1,"['😂', '😂']",1,0,0,0,0,0,0,0,0,0
@OfficialWith1D You fucker...stop messing with my fucking life😭,1,['😭'],0,1,0,0,0,0,0,0,0,0
"I thought the trending ""Philippine Army"" is PH A.R.M.Y's and about BTS, because it's #ARMYSelcaDay 😂",1,['😂'],1,0,0,0,0,0,0,0,0,0
i'm crying because someone just DMd this to me saying this is exactly what i would do 😭😭😭💀💀💀 true girl true https://t.co/zVo1jVqkne,1,"['😭', '😭', '😭', '💀', '💀', '💀']",0,1,0,0,0,0,0,0,0,0
@lucyhale can't wait to see you reunited with your cute little puppy! I miss seeing Elvis chilling on your kitchen table! 🐶😊❤,1,"['🐶', '😊', '❤']",0,0,0,0,1,0,0,0,1,0
"""At the end of the day he is always going to be MY GARY"" ❤ HASTA LUEGO MARICARMEN. Shippando sin frenos me voy directa contra un muro, fuck",1,['❤'],0,0,0,0,0,0,0,0,1,0
Shoutout 🙌🏼😱 to my squad 👩‍👩‍👧‍👧 💃🏽AXID 💙💛 doesn't just play 🏃🏽‍♀️ flag 🇺🇸 football 🏈❗️❕we dominate 💪🏽✊🏼 Jeremih 4:20 🙏🏼💯✝️,1,"['🙌🏼', '😱', '👩\u200d👩\u200d👧\u200d👧', '💃🏽', '💙', '💛', '🏃🏽\u200d♀️', '🇺🇸', '🏈', '❗', '❕', '💪🏽', '✊🏼', '🙏🏼', '💯', '✝️']",0,0,0,0,0,0,0,1,0,0
RT @NoHoesGeorge: I'm officially taken 😩❤🔒as a fucking joke,1,"['😩', '❤', '🔒']",0,0,0,0,0,1,0,0,1,0
RT @TheBloodShow: I'm letting u know now. We not protesting when the laws shoot yo ass for this stupid phone case 😂😂 https://t.co/IcSMsKpCrl,1,"['😂', '😂']",1,0,0,0,0,0,0,0,0,0
RT @PerpetuallyNene: Tell me how I went on an online anime OST radio station and I hear the fucking frog rap from Parappa 🤣,1,['🤣'],0,0,0,0,0,0,0,0,0,1
@creedior Yess.. he be get mad cuz at me when I be say don't make me call yo nephew you pussy💀😂,1,"['💀', '😂']",1,0,0,0,0,0,0,0,0,0
#TBT 7 years ago Damn I was ugly 😂 #Video #visuals #streetstyle #streetlife #streetexecs #music… https://t.co/tlQMfDNimt,1,['😂'],1,0,0,0,0,0,0,0,0,0
"Died for this shot! 😭 This night will be hard to forget. Not even. Thank you, @coldplay! 🤘🏼… https://t.co/vYxPo7tqcB",1,"['😭', '🤘🏼']",0,1,0,0,0,0,0,0,0,0
I know y'all know that feeling when you sleep on your neck wrong & you can't turn your head 😭😭😭😭 YO I did that shit last night & im dying,1,"['😭', '😭', '😭', '😭']",0,1,0,0,0,0,0,0,0,0
RT @Stormzy1: #GSAP TOUR - DUBLIN - FUCKING HELL!!!! 🇮🇪❤️💪🏿 https://t.co/b6uzw8c3Ze,1,"['🇮🇪', '❤️', '💪🏿']",0,0,0,0,0,0,1,0,0,0
@Satisfied_x that's all on the folks that voted for him. blame them ugly hoes 😂🤷🏼‍♀️,1,"['😂', '🤷🏼\u200d♀️']",1,0,0,0,0,0,0,0,0,0
RT @NoHoesGeorge: I'm officially taken 😩❤🔒as a fucking joke,1,"['😩', '❤', '🔒']",0,0,0,0,0,1,0,0,1,0
RT @NoHoesGeorge: I'm officially taken 😩❤🔒as a fucking joke,1,"['😩', '❤', '🔒']",0,0,0,0,0,1,0,0,1,0
"""Fake Stone Cold-Warrior Match Actually Happened 😂"" via @BleacherReport App: https://t.co/6P6veUoRfn https://t.co/pE9K3adzuh",1,['😂'],1,0,0,0,0,0,0,0,0,0
@admireATP Im nobody's side bitch sorry 🤷🏾‍♀️🤷🏾‍♀️🤷🏾‍♀️🏌🏾 and you know I ain't already tb u was dry hunching the boy 😂😂😭😭😭,1,"['🤷🏾\u200d♀️', '🤷🏾\u200d♀️', '🤷🏾\u200d♀️', '🏌🏾', '😂', '😂', '😭', '😭', '😭']",1,1,0,0,0,0,0,0,0,0
Happy birthday u sexy lil bitch ❤❤ i love you thanks for all the fun times 🎉🍰🍰🍰🎂🎂🍭🍭 https://t.co/NHSzy9weVF,1,"['❤', '❤', '🎉', '🍰', '🍰', '🍰', '🎂', '🎂', '🍭', '🍭']",0,0,0,0,0,0,0,0,1,0
"RT @SlimDaddyJr: fam, I'm not gonna die if you stop fucking with me 😂😂😂🤦🏽‍♂️",1,"['😂', '😂', '😂', '🤦🏽\u200d♂️']",1,0,0,0,0,0,0,0,0,0
RT @joeymillsxxx: I bought this thing and I'm about to be so fucking wrecked 😂💀@paulywalnutzz https://t.co/b0FubsuXlM,1,"['😂', '💀']",1,0,0,0,0,0,0,0,0,0
RT @youngthug: I'm goin to find u.. then I'm goin to fuck u.... 🤔 this nigga stupid af😭😂😭😂,1,"['🤔', '😭', '😂', '😭', '😂']",1,1,0,0,0,0,0,0,0,0
RT @BJ_2raw: Damn I fucked up..💀😭💀😭 https://t.co/quPm3U1Gxe,1,"['💀', '😭', '💀', '😭']",0,1,0,0,0,0,0,0,0,0
@_ConradTokyo @Mr_Cashleyy 😂😂😂😂😂 I'm spinning. You man are fucked,1,"['😂', '😂', '😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
https://t.co/yFqJmpRqz3 LOOOOOOOOOOOOOL MY FUCKING CHEST 😂😂😂,1,"['😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
